line,photo_id,perimeter1_cm,width1_cm,heigth1_cm,perimeter2_cm,width2_cm,heigth2_cm,prox_angl_macr,distal_angl_macr,tomat_pericap_area,tomat_pericap_area_ratio,tomat_pericap_thick,tomat_pericap_thick_ratio
922,7410,83.25,23.6,24.29,87.94,24.79,25.54,155.60,151.20,111.90,0.21,1.34,0.20
869,7412,66.97,19.05,20.53,70.04,19.99,21.30,146.30,134.20,65.17,0.20,0.97,0.20
1190,7413,83.78,22.06,26.56,86.84,23.19,27.94,131.60,129.10,90.68,0.18,1.09,0.20
1187,7414,81.48,20.69,26.9,85.66,21.72,28.30,126.90,127.90,88.08,0.18,1.07,0.20
976,7416,69.32,19.16,22.09,72.82,20.12,23.19,129.00,130.60,84.56,0.23,1.22,0.20
229,7417,66.85,19.34,19.76,69.34,20.29,20.65,144.40,146.80,64.24,0.20,0.97,0.20
661,7418,88.7,22.73,28.58,92.38,23.92,30.06,132.60,137.10,60.35,0.10,0.67,0.20
116,7419,66.16,16.48,20.03,64.77,17.31,20.88,127.60,140.40,51.33,0.18,0.82,0.20
384,7420,63.12,15.74,21.32,68.04,16.61,22.39,129.90,118.40,52.52,0.18,0.80,0.20
545,7421,85.55,23.15,27.22,89.72,24.37,28.47,137.50,138.40,109.35,0.19,1.27,0.20
541,7422,77.02,17.73,27.46,81.06,18.59,28.78,113.00,111.40,75.77,0.18,0.97,0.20
535,7423,85.31,17.51,31.12,89.81,18.42,32.77,105.80,103.00,106.65,0.21,1.25,0.20
365,7424,79.28,20.69,25.35,83.34,21.77,26.68,137.80,128.90,83.29,0.18,1.04,0.20
245,7425,74.73,21.82,21.88,78.12,22.92,23.00,147.00,150.70,75.67,0.18,1.01,0.20
598,7428,76.78,20.84,23.94,80.65,21.83,25.18,134.80,143.80,87.82,0.19,1.14,0.20
588,7429,69.35,18.54,22.06,72.99,19.51,23.19,121.60,132.40,61.60,0.18,0.88,0.20
554,7430,83.84,21.48,27.07,88.15,22.61,28.50,134.90,137.10,102.05,0.19,1.21,0.20
578,7432,97.76,21.51,34.29,101.16,22.61,36.09,103.70,111.10,115.60,0.18,1.19,0.20
23,7435,91.39,18.12,34.69,96.40,19.09,36.56,98.50,97.00,98.90,0.18,1.07,0.20
183,7436,53.63,15.61,16.17,66.22,16.38,16.94,141.40,139.80,31.50,0.14,0.49,0.20
128,7437,66.19,14.47,14.08,69.94,15.27,25.34,99.50,108.50,54.34,0.18,0.81,0.20
14,7439,72.17,18.15,23.39,74.53,18.95,24.45,130.60,131.40,59.22,0.16,0.82,0.20
4,7440,81.92,19.49,28.23,86.51,20.52,29.73,122.10,126.90,68.87,0.14,0.82,0.20
982,7442,63.63,13.97,23.15,69.71,14.68,24.51,101.30,103.60,45.69,0.16,0.68,0.20
744,7443,81.37,21.99,25.4,85.85,23.17,26.57,147.10,146.40,80.57,0.16,0.97,0.20
739,7446,82.66,20.37,27.75,86.73,21.30,29.22,139.50,114.60,88.45,0.18,1.06,0.20
959,7447,77.32,19.68,25.98,80.45,20.63,27.30,124.10,125.40,93.72,0.21,1.22,0.20
1094,7448,79.58,23.31,23.94,83.66,24.42,25.04,148.20,151.50,95.56,0.19,1.19,0.20
836,7451,69.22,19.58,20.77,73.07,20.60,21.74,139.80,147.90,57.05,0.16,0.81,0.20
